SQLHash,TotalExecutions,TotalDiskReads,TotalBufferGets,TotalRowsReturned,AvgBufferGetsPerExec,AvgDiskReadsPerExec,SQLPreview
4563780534,150,27678571,2211987503,37385485,14746583.35,184523.81,"Id,0)
			or coalesce(PricingConsolidated.ItemId,0) != coalesce(it.ItemId,0)
			or coalesce(PricingConsolidated.VendorId,0) != coalesce(it.VendorId,0)
			or coalesce(PricingConsolidated.BidItemId,0)"
6311722593,18405,73717,2152079903,3191441,116929.09,4.01,"(@P0 int)select --*
						ISNULL(R.accountcode,'') AS AccountCode,R.accountid,R.allocationamount,R.allocationavailable,R.approvallevel,R.attention,R.budgetamount,R.budgetid,R.categoryid,R.categoryname"
3478943573,82185,1782370,1919789222,26220196,23359.36,21.69,"derId = bl.BidHeaderId
  join Bids on Bids.BidHeaderId = BidHeaders.BidHeaderId
           and Bids.Active = 1
           and Bids.VendorId != 7691
  join BidItems on BidItems.BidId = Bids.BidId
"
3478943573,82185,1782370,1919789222,26220196,23359.36,21.69,"

CREATE procedure [dbo].[sp_MPIHeadings] @RequisitionId int as
set nocount on
declare @BidHeaderId int, @DistrictId int, @CategoryId int
declare @BidsList table (RequisitionId int, BidHeaderId i"
4633455156,12947,8791356,1393223598,1804049,107609.76,679.03,"(@P0 int)select --*
						ISNULL(R.accountcode,'') AS AccountCode,R.accountid,R.allocationamount,R.allocationavailable,R.approvallevel,R.attention,R.budgetamount,R.budgetid,R.categoryid,R.categoryname"
5779021728,115237,10815595,1333606449,1214176,11572.73,93.86," style=""white-space:nowrap;' + case when ShippingUpdateRequired = 1 then 'color:var(--error-color) !important;' else '' end + '"" title=""' + case when AdditionalShipping = 1 then case when ShippingUpda"
5779021728,115237,10815595,1333606449,1214176,11572.73,93.86,"char(10) +
					'-----------------------' + char(10) +
					'Grand Total:' + replicate('&nbsp;',(10 - (cast(Len(convert(varchar,cast((BidPrice * Quantity) + ShippingCost as money),1)) as float)*0.8)))"
5779021728,115237,10815595,1333606449,1214176,11572.73,93.86,"(@P0 int,@P1 int,@P2 int,@P3 int)SELECT DetailId, ItemId, Quantity, LastYearsQuantity, Description, UnitCode, BidPrice, /*Extended,*/ LastAlteredSessionId, VendorName, VendorCode, CatalogName, AltDesc"
2996251983,5462,8920958,1258990144,1588759,230499.84,1633.28,"(@P0 int,@P1 int)select --*
						ISNULL(R.accountcode,'') AS AccountCode,R.accountid,R.allocationamount,R.allocationavailable,R.approvallevel,R.attention,R.budgetamount,R.budgetid,R.categoryid,R.cate"
5007297860,172402,1383,1040663580,17342,6036.26,0.01,"d.CatalogPrice,
         GrossPrice = BestBid.GrossPrice,
         DiscountRate = BestBid.DiscountRate,
         CatalogPage = BestBid.Page,
         PricePlanId = BestBid.PricePlanId,
         A"
