ID,DateIdentified,SQLHash,Executions,WaitTimeMS,EstimatedSaving%,Database,Schema,Table,IndexName,SQLPreview
36563,2025-12-14 00:00:00,3475408651,9,2,99.833,EDS,dbo,PK_BidRequestItemMergeHistory,BidRequestItemMergeActions,"(@P0 nvarchar(4000))declare @userEmail varchar(255) =  @P0 
declare @code as varchar(8) = left(newid"
37001,2025-12-20 00:00:00,3475408651,8,2,99.833,EDS,dbo,PK_BidRequestItemMergeHistory,BidRequestItemMergeActions,"(@P0 nvarchar(4000))declare @userEmail varchar(255) =  @P0 
declare @code as varchar(8) = left(newid"
36846,2025-12-17 00:00:00,5347010849,1,26,99.662,tempdb,dbo,PK__#ItemTab__3214EC077C9ED17A,#ItemTable,"WITH s AS (
  SELECT TOP (50000) AwardId
  FROM SearchData.dbo.PricingConsolidated
  WHERE AwardId I"
36824,2025-12-17 00:00:00,4844081050,1,14,99.613,,,,,"CREATE     procedure [dbo].[usp_GetBidItemsNeedingAIUpdate] as
begin
/* Table Changes 
alter tabl"
37011,2025-12-20 00:00:00,4844081050,1,5,99.613,,,,,"CREATE     procedure [dbo].[usp_GetBidItemsNeedingAIUpdate] as
begin
/* Table Changes 
alter tabl"
36984,2025-12-19 00:00:00,4844081050,1,5,99.613,,,,,"CREATE     procedure [dbo].[usp_GetBidItemsNeedingAIUpdate] as
begin
/* Table Changes 
alter tabl"
36944,2025-12-18 00:00:00,4844081050,1,10,99.613,,,,,"CREATE     procedure [dbo].[usp_GetBidItemsNeedingAIUpdate] as
begin
/* Table Changes 
alter tabl"
36573,2025-12-14 00:00:00,4844081050,1,6,99.613,,,,,"CREATE     procedure [dbo].[usp_GetBidItemsNeedingAIUpdate] as
begin
/* Table Changes 
alter tabl"
36627,2025-12-15 00:00:00,4844081050,1,8,99.613,,,,,"CREATE     procedure [dbo].[usp_GetBidItemsNeedingAIUpdate] as
begin
/* Table Changes 
alter tabl"
36696,2025-12-16 00:00:00,4844081050,1,5,99.613,,,,,"CREATE     procedure [dbo].[usp_GetBidItemsNeedingAIUpdate] as
begin
/* Table Changes 
alter tabl"
