VendorId,Code,VendorName,ManufacturerName,ProductCount,UniquePartNumbers
14451,,grainger,GRAINGER,24671,7387
10031,,GRAINGER,GRAINGER,24671,7387
13061,,GRAINGER,GRAINGER,24671,7387
10345,,GRAINGER,GRAINGER,24671,7387
14045,,FLIPSIDE PRODUCTS INC,FLIPSIDE PRODUCTS INC,22973,539
3254,3277,3M Company,3M Company,22909,467
477,0453,3M COMPANY,3M Company,22909,467
14618,,Mikasa,Mikasa,22024,833
7730,T038,Scholastic,Scholastic,20471,702
15643,6667,ACME UNITED CORP.,ACME UNITED CORP.,19898,1448
12761,,United Supply Corp.,UNITED SUPPLY CORP.,17692,729
6417,7384,Kaplan Early Learning Company,Kaplan Early Learning Company,17477,4161
10607,,Kaplan Early Learning Company,Kaplan Early Learning Company,17477,4161
7636,9801,SOCIAL STUDIES SCHOOL SERVICE,SOCIAL STUDIES SCHOOL SERVICE,17246,256
7643,9808,SOCIAL STUDIES SCHOOL SERVICE,SOCIAL STUDIES SCHOOL SERVICE,17246,256
7468,9208,SOCIAL STUDIES SCHOOL SERVICE,SOCIAL STUDIES SCHOOL SERVICE,17246,256
1738,1748,"Really Good Stuff, LLC","Really Good Stuff, LLC",16753,9650
1610568,,Medline,Medline,16579,851
7932,T153,Teacher's Discovery,Teacher's Discovery,16007,3123
11331,,Teacher's Discovery,Teacher's Discovery,16007,3123
10233,,Teacher's Discovery,Teacher's Discovery,16007,3123
7249,8659,LEXMARK INTERNATIONAL,LEXMARK INTERNATIONAL,15592,3315
1019,0A63,SSS,SSS,14989,2211
9098,,American 3B Scientific,American 3B Scientific,14892,315
541,0518,Nasco Education LLC,NASCO EDUCATION LLC,14316,1161
9919,F086,NYSTROM                       ,Nystrom,14017,154
14473,,Tachikara,Tachikara,13235,697
6666,7653,tachikara,Tachikara,13235,697
1117700,7493,ENABLING DEVICES,ENABLING DEVICES,12789,316
12993,6879,OKLAHOMA SOUND,Oklahoma Sound,12757,575
15721,,Cardinal Health ,CARDINAL HEALTH,11155,239
15159,5730,SPALDING,Spalding,11115,480
7019,8319,WESCO,WESCO,10924,895
13175,8059,TOA ELECTRONICS,TOA Electronics,10863,847
11332,5180,Remedia Publications,Remedia Publications,10831,556
1623495,,Samson,Samson,9999,976
1623494,,Samson,Samson,9999,976
10658,,Infocus,INFOCUS,9989,2525
1711914,9954,Brown Dog Gadgets,BROWN DOG GADGETS,9304,105
13583,,Shoes for Crews,SHOES FOR CREWS,9081,191
3253,3276,IBM,IBM,9068,610
1711101,,GAMMA,GAMMA,8735,335
15776,,macgregor,MacGregor,8590,60
1623099,,Jaypro,Jaypro,8558,305
12985,,Adorama,Adorama,8368,1227
12987,,Adorama,Adorama,8368,1227
12969,,Adorama,Adorama,8368,1227
12986,,Adorama,Adorama,8368,1227
13197,,Adorama,Adorama,8368,1227
13861,,Cramer,Cramer,8334,540
1432286,,PROMOUNDS,promounds,8150,229
10018,8991,FrontRow,FRONTROW,7823,1083
1429880,R797,FRONTROW,FRONTROW,7823,1083
10943,5809,HANDWRITING WITHOUT TEARS,Handwriting Without Tears,7601,157
7456,9175,HAMMOND,Hammond,7530,2555
13662,,EMEDCO,EMEDCO,7399,62
1623488,,Dollamur Sport Surfaces,Dollamur Sport Surfaces,7351,336
4283,4339,DOLLAMUR SPORT SURFACES,Dollamur Sport Surfaces,7351,336
12366,,saunders,SAUNDERS,7347,277
13831,,Vernier,Vernier,7259,213
1711620,,Lindenmeyr Munroe,LINDENMEYR MUNROE,7112,631
515,0491,Lindenmeyr Munroe ,LINDENMEYR MUNROE,7112,631
1432325,,SCHUTT,Schutt,7048,384
1615037,,Global Industrial,GLOBAL INDUSTRIAL,6948,160
1432015,,Global Industrial,GLOBAL INDUSTRIAL,6948,160
15838,,Global Industrial ,GLOBAL INDUSTRIAL,6948,160
1432324,,Global Industrial ,GLOBAL INDUSTRIAL,6948,160
6312,7278,INTERNATIONAL PAPER,International Paper,6869,366
7446,9141,FRANK SCHAFFER PUBLICATIONS,FRANK SCHAFFER PUBLICATIONS,6579,531
13606,5592,RAWLINGS,Rawlings,6524,437
1623515,,Rawlings,Rawlings,6524,437
1711117,9654,Learning Without Tears,LEARNING WITHOUT TEARS,6425,98
1711893,,LEARNING WITHOUT TEARS,LEARNING WITHOUT TEARS,6425,98
10422,,Discovery Education ,Discovery Education,6411,253
1623572,,Amazon,AMAZON,6282,278
1623571,,amazon,AMAZON,6282,278
1711150,,AMAZON,AMAZON,6282,278
1623569,,Amazon,AMAZON,6282,278
13780,,amazon,AMAZON,6282,278
1623570,,amazon,AMAZON,6282,278
1711382,,Amazon,AMAZON,6282,278
1403780,,AMAZON,AMAZON,6282,278
1711360,,AMAZON,AMAZON,6282,278
552,0528,School Health Corporation ,SCHOOL HEALTH CORPORATION,6201,599
13999,,Garmin,Garmin,6068,1045
1432446,,Garmin,Garmin,6068,1045
14835,R336,NETGEAR,Netgear,6026,1063
4574,4648,WILSON SPORTING GOODS,WILSON SPORTING GOODS,5976,489
1432327,,Mueller Sports Medicine,MUELLER SPORTS MEDICINE,5957,813
1711435,,E-Z Up,E-Z UP,5873,686
15299,,E-Z Up,E-Z UP,5873,686
267,0249,Kimbo Educational,Kimbo Educational,5723,183
8703,,Kimbo Educational,Kimbo Educational,5723,183
8107,,Kimbo Educational,Kimbo Educational,5723,183
10957,,EIKI,Eiki,5577,2202
1623077,,Burmax,BURMAX,5558,1
15742,,STX,STX,5529,387
1623617,,STX,STX,5529,387
8231,T173,PRIMARY CONCEPTS,PRIMARY CONCEPTS,5139,279
6454,7421,ROCHESTER MIDLAND,ROCHESTER MIDLAND,4937,124
1825,1841,ROCHESTER MIDLAND,ROCHESTER MIDLAND,4937,124
1711911,T991,"Phoenix Safe International, LLC","Phoenix Safe International, LLC",4922,101
1566558,8868,"MooreCo, Inc.","MooreCo, Inc.",4919,1606
14788,,New Balance,NEW BALANCE,4798,866
1840,1855,MINDWARE,MindWare,4777,180
6330,7296,"UCS, INC.","UCS, INC.",4725,97
187,0170,"UCS, INC.","UCS, INC.",4725,97
9418,,CRABTREE,CRABTREE,4661,54
9600,6752,AMPAD,AMPAD,4618,250
1614926,9179,Visiontron,VISIONTRON,4557,176
12307,,School Health,School Health,4549,189
13129,8042,TRANE,TRANE,4525,266
7662,9870,ETR ASSOCIATES,ETR ASSOCIATES,4437,98
10171,,ETR Associates,ETR ASSOCIATES,4437,98
7606,9520,"EDVOTEK, INC.","EDVOTEK, INC.",4372,274
15316,5826,GARED SPORTS,GARED SPORTS,4291,140
1403745,,Flaghouse,FLAGHOUSE,4283,234
1432019,,Flaghouse,FLAGHOUSE,4283,234
5646,6490,CASCADE ,Cascade,4275,179
1711792,,Vic Firth,Vic Firth,4122,526
1623492,,BADEN SPORTS,BADEN SPORTS,4001,177
9587,,Bacharach ,BACHARACH,3999,201
9544,,Dell Marketing L.P.,DELL MARKETING L.P.,3960,1417
2309,2342,NIKE USA,NIKE USA,3945,3198
13473,,Midwest,Midwest,3868,374
12300,,Midwest,Midwest,3868,374
7914,6721,BOXLIGHT ,BOXLIGHT,3789,1180
7713,T021,Houghton Mifflin Harcourt,Houghton Mifflin Harcourt,3761,468
9942,F109,STECK-VAUGHN                  ,STECK-VAUGHN,3694,102
8059,,ABC,ABC,3688,129
8073,,ABC,ABC,3688,129
12672,5960,RR DONNELLEY,RR DONNELLEY,3678,381
2512,2549,NEWARK ELECTRONICS,NEWARK ELECTRONICS,3464,63
15254,,APPLE,Apple,3348,1535
14757,,Franklin Sports,FRANKLIN SPORTS,3332,126
7084,8384,RAYMOND PRODUCTS,RAYMOND PRODUCTS,3309,139
13801,9478,McDavid,MCDAVID,3306,452
13552,,Gatorade,Gatorade,3258,218
4815,5103,HACH,HACH,3257,517
1623622,,Uline,ULINE,3240,127
15819,,ULINE ,ULINE,3240,127
13850,,Uline,ULINE,3240,127
13694,,ULINE,ULINE,3240,127
4475,4544,"CASIO, INC.","Casio, Inc.",3207,148
1623086,,Movo Photo,Movo Photo,3206,291
13962,9454,Fisher Athletics,FISHER ATHLETICS,3192,798
1623565,,HALO,Halo,3160,369
4392,4454,GOLDEN ARTIST COLORS INC.,Golden Artist Colors Inc.,3149,1
15722,,Henry Schein,HENRY SCHEIN,3105,952
2011,2030,ALADDIN,Aladdin,3085,317
1621015,9342,ALLSTEEL INC,ALLSTEEL INC,3083,428
1623172,,Performance Health,PERFORMANCE HEALTH,3065,112
15597,6296,Aurora Multimedia,Aurora Multimedia,3047,256
902,0890,ELLISON EDUCATIONAL EQUIPMENT,ELLISON EDUCATIONAL EQUIPMENT,2953,330
1711270,,Igloo,Igloo,2918,292
13044,6894,MEDICALESHOP INC.,MEDICALESHOP INC.,2870,98
2497,2533,MONACO,Monaco,2831,141
9910,F077,MERRIAM-WEBSTER               ,Merriam-Webster,2784,136
14054,2837,QVS,QVS,2782,672
13520,,hearlihy,Hearlihy,2742,121
12925,,Hearlihy,Hearlihy,2742,121
5828,6722,KOH-I-NOOR,Koh-I-Noor,2602,207
9900,F067,LAB-AIDS                      ,Lab-Aids,2582,68
1623208,,Kwik Goal,Kwik Goal,2562,501
13907,,Select,Select,2511,245
1623227,,Amazon.com,AMAZON.COM,2506,162
14753,,AMAZON.COM,AMAZON.COM,2506,162
15590,6213,"JOY SYSTEMS, INC.","JOY SYSTEMS, INC.",2502,487
5924,6872,BETCO ,BETCO,2427,631
7530,9355,SCHOLASTIC INC.,SCHOLASTIC INC.,2368,132
7681,9956,HUMAN KINETICS,Human Kinetics,2320,111
8423,T211,Lerner Publishing Group,Lerner Publishing Group,2299,254
8256,,Shopware,Shopware,2250,68
1614893,9129,MAX Cases ,MAX CASES,2227,555
12169,,Cengage Learning,CENGAGE LEARNING,2215,346
1403749,,Cengage Learning,CENGAGE LEARNING,2215,346
1432369,,SAM Labs,Sam Labs,2125,89
1711646,9839,Winco,Winco,2082,251
6564,7549,Virco Inc.,VIRCO INC.,2008,348
8470,,Welch Allyn,Welch Allyn,1985,1273
1117775,R738,VALCOM,VALCOM,1977,740
14902,,US Games,US Games,1965,103
14650,,US Games,US Games,1965,103
14901,,US Games,US Games,1965,103
1711912,9952,Optoma Technology,OPTOMA TECHNOLOGY,1934,577
8076,T168,Walter Foster,Walter Foster,1902,380
3055,3090,BONA US,BONA US,1902,62
11342,1622,ANATOMICAL CHART COMPANY,ANATOMICAL CHART COMPANY,1899,180
9938,F105,SIMON & SCHUSTER              ,Simon & Schuster,1858,140
1610622,,Iron Neck,Iron Neck,1850,70
9153,4966,XPEDX,XPEDX,1848,42
10259,,Learning Seed,LEARNING SEED,1847,139
1432193,8768,SC JOHNSON PROFESSIONAL,SC Johnson Professional,1841,136
4553,4627,B4 BRANDS,B4 BRANDS,1828,74
1566584,8887,CEF,CEF,1809,312
9528,,Stackhouse Athletic Equipment,STACKHOUSE ATHLETIC EQUIPMENT,1802,148
15727,R618,DORMAKABA,DORMAKABA,1792,292
1007,0987,"Educational Innovations, Inc.","EDUCATIONAL INNOVATIONS, INC.",1769,30
4689,4765,LYNN PEAVEY COMPANY,LYNN PEAVEY COMPANY,1738,78
14953,5470,Fun and Function LLC,FUN AND FUNCTION LLC,1628,66
1711213,9689,ViewSonic Corporation ,ViewSonic Corporation,1565,73
366,0344,TOUCHIT TECHNOLOGIES,TOUCHIT TECHNOLOGIES,1540,76
142,0124,SCULPTURE HOUSE,SCULPTURE HOUSE,1505,124
13080,,Cliff Keen,Cliff Keen,1491,66
1429839,,CLIFF KEEN,Cliff Keen,1491,66
10813,,American Red Cross,AMERICAN RED CROSS,1486,104
2830,2866,AMERICAN RED CROSS,AMERICAN RED CROSS,1486,104
1711951,9976,Kutol Products Company,Kutol Products Company,1471,37
1614906,9154,Clear Touch Interactive ,CLEAR TOUCH INTERACTIVE,1460,175
1711699,,SLINGER,Slinger,1412,149
6007,6975,GOAL SPORTING GOODS INC,GOAL SPORTING GOODS INC,1400,42
1711935,9966,PowerGistics,PowerGistics,1393,374
1623136,9463,Tandem Sport,Tandem Sport,1336,35
9926,F093,RANDOM HOUSE                  ,Random House,1329,329
7906,T142,Capstone Press,Capstone Press,1326,242
4167,4219,STC,STC,1321,164
518,0494,EBP SUPPLY SOLUTIONS,EBP SUPPLY SOLUTIONS,1287,28
1429846,,SPORTSFIELD SPECIALTIES,Sportsfield Specialties,1280,29
1711518,T858,PCS,PCS,1257,419
749,0729,KAPCO,KAPCO,1254,95
13692,,WOODWORKERS SUPPLY,Woodworkers Supply,1232,10
15885,,Woodworkers Supply,Woodworkers Supply,1232,10
13927,,Woodworkers Supply,Woodworkers Supply,1232,10
1432296,,woodworkers supply,Woodworkers Supply,1232,10
5175,6019,Paxton Patterson LLC,Paxton Patterson LLC,1224,73
13698,,Mizuno,Mizuno,1210,101
15504,5993,SCHOOLWIDE INC.,Schoolwide Inc.,1210,23
13445,0585,GROUPE LACASSE LLC,GROUPE LACASSE LLC,1176,21
1623360,,Gopher Sport,GOPHER SPORT,1163,38
1117708,7672,Speech Corner,SPEECH CORNER,1161,45
1621085,9428,Certwood Limited ,CERTWOOD LIMITED,1116,94
10154,9771,Pearson Education,Pearson Education,1114,152
7095,8395,DOVER PUBLICATIONS,DOVER PUBLICATIONS,1113,47
14501,,Calculated Industries,Calculated Industries,1111,45
7706,T014,Gibbs Smith,Gibbs Smith,1087,121
1623523,,Accusplit,ACCUSPLIT,1080,38
10160,0839,LAMOTTE COMPANY,LAMOTTE COMPANY,1018,57
7645,9810,BLACK & DECKER,BLACK & DECKER,1005,111
15184,,Staples Advantage,STAPLES ADVANTAGE,952,44
15399,,Patterson Medical,PATTERSON MEDICAL,948,76
13493,,"International EZ-UP, Inc.","INTERNATIONAL EZ-UP, INC.",948,31
12558,7877,FAT BRAIN TOYS ,Fat Brain Toys,914,97
4568,4642,WITTEK GOLF SUPPLY,WITTEK GOLF SUPPLY,885,92
1615020,,EVOSHIELD,EvoShield,871,90
11486,,"Wallcur, Inc.","WALLCUR, INC.",859,19
4068,4115,"WALLCUR, INC.","WALLCUR, INC.",859,19
10970,0601,Bose Corporation,BOSE CORPORATION,857,265
1623224,,UCS,UCS,832,99
1036,1014,INSECT LORE PRODUCTS,INSECT LORE PRODUCTS,831,46
10262,,Lego Education,LEGO EDUCATION,822,79
11192,,Lego Education ,LEGO EDUCATION,822,79
2453,2484,LEGO Education,LEGO EDUCATION,822,79
1615035,,Rock Solid,Rock Solid,819,42
13906,,Porta Phone,Porta Phone,818,59
13013,,Porta Phone,Porta Phone,818,59
14522,,Polar,Polar,815,108
10024,8997,ACCUCUT,AccuCut,812,139
1432423,,Romanoff,Romanoff,802,44
1432234,,Crystal Productions,Crystal Productions,801,178
7940,T161,Crystal Productions,Crystal Productions,801,178
1432379,9440,EZ Flex Sport Mats,EZ Flex Sport Mats,780,26
1434621,8857,MAKEBLOCK,Makeblock,779,117
